'barcode';'name';'volume';'quantity'
"7801620004057";"GINGER ALE LIGHT 12PF-PET 500";"500";"1"
"7801620004057";"GINGER ALE LIGHT 12PF-PET 500";"500";"1"
"7801610591994";"SPRITE";"591";"1"
"7801620015862";"CACHANTUN L/GAS 12PF-PET 500";"500";"1"
"7801620016111";"LIMON SODA 12PF-PET 500";"500";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"7801610000601";"COCA COLA ZERO";"591";"1"
"7802100000316";"HEINEKEN 12PCX2-LAT350 PDQ-LINEA";"350";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620015855";"CACHANTUN L/GAS 6PF-PET 1600";"1600";"1"
"8690582722401";"CERVEZA CARLSBERG";"500";"1"
"7802100505323";"CRISTAL 6PFX4-LAT470CCPROMOCIÓN";"470";"1"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7801620852580";"KEM PIÑA";"350";"1"
"7801620004859";"MAS CATUN PERA SG 12PF PET500";"500";"1"
"7801620015817";"Cachantun Sin Gas";"500";"2"
"7802100505323";"CRISTAL 6PFX4-LAT470CCPROMOCIÓN";"470";"1"
"7801620016128";"GINGER ALE 12PF-PET 500";"500";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"7802820600100";"VITAL CON GAS";"600";"1"
"7801620010133";"KEM 6PFX4-PET 250";"250";"1"
"7801610000595";"COCA COLA LIGHT";"591";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801610591116";"Fanta";"591";"1"
"7801620504175";"CACHANTUN CGAS PET 2250";"2000";"2"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801620007010";"MAS CATUN LIMON MENT PET1.6X6";"1600";"1"
"7801620002961";"GATORADE COOL BLUE 6PF-PET 500";"500";"1"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7801620350215";"Kem";"2000";"1"
"7801620290160";"BILZ 6PF-PET 1500";"1500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801620290191";"BILZ 6PF-PET 2000";"2000";"1"
"7801620350215";"Kem";"2000";"1"
"7801610200933";"Coca-Cola Zero";"1750";"1"
"7801610350409";"COCA COLA ZERO";"1500";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7801620300210";"PAP PET 2000 X 06";"2000";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7802820441529";"Benedictino Gasificada";"1500";"1"
"7801610000595";"COCA COLA LIGHT";"591";"1"
"7802820210422";"And.Nectar Durazno Pet 2.0  x6";"2000";"1"
"7801620001841";"WATT'S TUTIFRUTILLA 6PF-PET1.5";"1500";"1"
"7801620855215";"7UP 12PF-PET 500";"500";"1"
"7801610305560";"Coca-Cola Zero";"3000";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801620002367";"MAS CACHANTUN 12PF-PET 500";"500";"1"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"1"
"7801620003968";"Woman mas Cachantun Sabor Frutos del Bosque";"1500";"1"
"7801620006600";"MAS CATUN CITRUS 6PF-PET 1.6";"1600";"1"
"7801620011635";"Whatt´s Nectar de Fruta Piña";"1500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7804646000058";"ENERGIZANTE MR. BIG";"2000";"1"
"7801620001988";"KEM XTREME 6PF-PET 1500";"1500";"2"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7801610000595";"COCA COLA LIGHT";"591";"1"
"7802100020130";"Escudo";"350";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801610591994";"SPRITE";"591";"1"
"7802820441529";"Benedictino Gasificada";"1500";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7801610000601";"COCA COLA ZERO";"591";"1"
"7802820600100";"VITAL CON GAS";"600";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801620855253";"PEPSI 6PFX4-PET 250";"250";"1"
"7801620002671";"Gatorade Lima Limon";"500";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801610610404";"COCA COLA LIGHT";"250";"1"
"7802130000096";"Becker Genuine Lager";"354";"1"
"7801620003302";"LIPTON LIMON 6PF-PET 400";"400";"1"
"7801620011635";"Whatt´s Nectar de Fruta Piña";"1500";"1"
"7801620360214";"GINGER ALE 6PF-PET 2000";"2000";"1"
"7801620000738";"WATT'S DURAZNO LGH 6PF-PET 1.5";"1500";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"1"
"7801620002916";"WATT'S TUTIFRUT LGH 6PF-PET1.5";"1500";"1"
"7801620011604";"Whatt´s Nectar de Fruta Naranja";"1500";"1"
"7801620016036";"KEM 12PF-PET 500";"500";"1"
"7801620006501";"BILZ LIG PET2000X6-TR";"2000";"1"
"7801620006341";"WATT'S PINA LIGHT 6PF-PET 1.5";"1500";"1"
"7802820441512";"Benedictino PT 1.5 Lt*6 S/G";"1500";"1"
"7802820441529";"Benedictino Gasificada";"1500";"1"
"7801620011635";"Whatt´s Nectar de Fruta Piña";"1500";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"3"
"7801620002916";"WATT'S TUTIFRUT LGH 6PF-PET1.5";"1500";"1"
"7801620011604";"Whatt´s Nectar de Fruta Naranja";"1500";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"1"
"7801620075941";"PEPSI 12PF-PET 500";"500";"1"
"7801620004859";"MAS CATUN PERA SG 12PF PET500";"500";"1"
"7801620006853";"PEPSI ZERO 12PF-PET 500";"500";"1"
"7802820441529";"Benedictino Gasificada";"1500";"1"
"7802820441512";"Benedictino PT 1.5 Lt*6 S/G";"1500";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801620852962";"Cachantun Sin Gas";"1600";"1"
"7801620003968";"Woman mas Cachantun Sabor Frutos del Bosque";"1500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"2"
"7801620852962";"Cachantun Sin Gas";"1600";"1"
"7801620003500";"WATT'S TUTIARANDANO 6P-PET 1.5";"1500";"1"
"7802820700251";"Andina Frut Piña Pet 1,5  x 6";"1500";"1"
"7801620340186";"LIMON SODA 6PF-PET 1500";"1500";"1"
"7801620015862";"CACHANTUN L/GAS 12PF-PET 500";"500";"1"
"7801610000595";"COCA COLA LIGHT";"591";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801610350355";"Coca-Cola Zero";"350";"1"
"7801620330217";"CRUSH 6PF-PET 1500";"1500";"1"
"7802820020953";"VITAL CON GAS";"1600";"1"
"7802820441789";"Benedictino Natural Sin Gas";"2000";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"2"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801620007027";"Cachantun Mas sin Gas Limon Menta";"500";"1"
"7801620300180";"PAP PET 1500 X 06";"1500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620000899";"LIMON SODA 6PFX4-PET 250";"250";"1"
"7801620011604";"Whatt´s Nectar de Fruta Naranja";"1500";"1"
"7801620010133";"KEM 6PFX4-PET 250";"250";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620006853";"PEPSI ZERO 12PF-PET 500";"500";"1"
"7801620016074";"PAP PET 250 X 24";"250";"1"
"7501013118032";"Jumex Nectar Mango";"335";"1"
"7801620855253";"PEPSI 6PFX4-PET 250";"250";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620006853";"PEPSI ZERO 12PF-PET 500";"500";"1"
"7801620016074";"PAP PET 250 X 24";"250";"1"
"7501013118032";"Jumex Nectar Mango";"335";"1"
"7801620855253";"PEPSI 6PFX4-PET 250";"250";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620006853";"PEPSI ZERO 12PF-PET 500";"500";"1"
"7801620016074";"PAP PET 250 X 24";"250";"1"
"7501013118032";"Jumex Nectar Mango";"335";"1"
"7801620855253";"PEPSI 6PFX4-PET 250";"250";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801620300180";"PAP PET 1500 X 06";"1500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620075941";"PEPSI 12PF-PET 500";"500";"1"
"7801610175095";"Coca Cola pet Light 1,75 lts *6";"1750";"1"
"7801610350355";"Coca-Cola Zero";"350";"1"
"7801610118603";"Quatro Zero Pet 500 cc. *6 term.";"500";"1"
"7801620000899";"LIMON SODA 6PFX4-PET 250";"250";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7802820500035";"Andina del Valle Nectar Durazno";"1500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7802800544639";"Livean Nectar 0% Manzana";"1500";"1"
"7801620006761";"WATT'S MANZAN LIGHT 6PF-PET1.5";"1500";"1"
"7802800544639";"Livean Nectar 0% Manzana";"1500";"1"
"7801620007027";"Cachantun Mas sin Gas Limon Menta";"500";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7802820700053";"Andina Frut Naranja Pet 1,5  x 6";"1500";"1"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801620853457";"CRUSH 6PFX4-PET 250";"250";"1"
"7802820645859";"Andina Light  Piña 1.5 Pet x 6";"1500";"1"
"7801620016043";"PEPSI LIGHT 12PF-PET 500";"500";"1"
"7801620016043";"PEPSI LIGHT 12PF-PET 500";"500";"1"
"7801620016111";"LIMON SODA 12PF-PET 500";"500";"1"
"7801620011604";"Whatt´s Nectar de Fruta Naranja";"1500";"1"
"7801620007201";"LIPTON YAZMIN LYCHEE PET1.5 X6";"1500";"1"
"7801620855253";"PEPSI 6PFX4-PET 250";"250";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7802100020130";"Escudo";"350";"1"
"7801620360184";"GINGER ALE 6PF-PET 1500";"1500";"2"
"7801620016067";"BILZ 6PFX4-PET 250";"250";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620350185";"KEM 6PF-PET 1500";"1500";"1"
"7801610000601";"COCA COLA ZERO";"591";"1"
"7802820020953";"VITAL CON GAS";"1600";"1"
"7801620011840";"GATORADE FRUT TROP 6PF-PET500";"500";"1"
"7801610591994";"SPRITE";"591";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620016975";"MAS CATUN NARANJ 12PF-PET500";"500";"1"
"7801620350185";"KEM 6PF-PET 1500";"1500";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7801620016067";"BILZ 6PFX4-PET 250";"250";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801610223727";"Sprite Zero";"1500";"1"
"7801620007126";"MAS CACHANTUN PERA 6PFX4-PET 250-TR";"250";"1"
"7801620075941";"PEPSI 12PF-PET 500";"500";"1"
"7801610591994";"SPRITE";"591";"1"
"7801620853396";"WATT'S NARANJA LIGHT 6P-PET1.5";"1500";"1"
"7801620075941";"PEPSI 12PF-PET 500";"500";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7801620855215";"7UP 12PF-PET 500";"500";"1"
"7801620005344";"MAS CATUN UVA S/G 12PF-PET 500";"500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801610350409";"COCA COLA ZERO";"1500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7802820441123";"Benedictino PT 500cc *12 C/G";"500";"1"
"7801620016012";"BILZ 12PF-PET 500";"500";"1"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7801620852962";"Cachantun Sin Gas";"1600";"1"
"7801620015855";"CACHANTUN L/GAS 6PF-PET 1600";"1600";"1"
"7801620003692";"PURE LIFE C/GAS 6PF-PET 1500";"1500";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620006648";"Cachantun Mas sin Gas Uva";"1600";"1"
"7801620006655";"MAS CATUN PERA PET 1600";"1600";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620016111";"LIMON SODA 12PF-PET 500";"500";"1"
"7801620007409";"PAP 6PF-PET 1750-TR";"1750";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620006655";"MAS CATUN PERA PET 1600";"1600";"1"
"7801610001622";"Coca-Cola Original";"1500";"1"
"7801620016067";"BILZ 6PFX4-PET 250";"250";"1"
"7802130000102";"CERVEZA BALTICA";"354";"1"
"7801620016012";"BILZ 12PF-PET 500";"500";"1"
"7802130000102";"CERVEZA BALTICA";"354";"1"
"7802820600100";"VITAL CON GAS";"600";"1"
"7801610591994";"SPRITE";"591";"1"
"9002490221010";"RED BULL TRADIC LATA 355X24";"355";"1"
"7801610223727";"Sprite Zero";"1500";"1"
"7801620006631";"Cachantun Mas sin Gas Granada";"1600";"1"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"1"
"7804604720134";"Lider Agua Mineral El Olivo Con gas";"1600";"2"
"7801610001196";"COCA COLA";"350";"1"
"7801620005344";"MAS CATUN UVA S/G 12PF-PET 500";"500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801610483039";"Aquarius Duranzo PT500 *6 LOW CAL";"500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801620000738";"WATT'S DURAZNO LGH 6PF-PET 1.5";"1500";"1"
"7801620011635";"Whatt´s Nectar de Fruta Piña";"1500";"1"
"7802820700053";"Andina Frut Naranja Pet 1,5  x 6";"1500";"1"
"7801620011604";"Whatt´s Nectar de Fruta Naranja";"1500";"1"
"7802820700251";"Andina Frut Piña Pet 1,5  x 6";"1500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"2"
"7801620011628";"Whatt´s Nectar de Fruta Damasco";"1500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620002916";"WATT'S TUTIFRUT LGH 6PF-PET1.5";"1500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7802820600100";"VITAL CON GAS";"600";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
